COG1611	K22522
COG1794	K01779
COG3608	K06987
COG2026	K06218
COG2161	K19159
COG3012	K07039
COG2887	K07465
COG2018	K07131
COG1234	K00784
COG2337	K07171
COG3335	K07494
COG2861	K09798
COG0857	K06873
COG3425	K22838
COG2165	K02456
COG0596	K01055
COG2089	K01654
COG3980	K15897
COG1662	K07480
COG3642	K11211
COG0546	K01091
COG3415	K07499
COG1773	K12264
COG2801	K07497
COG0490	K03455
COG0864	K07722
COG1546	K03742
COG1201	K03724
COG0019	K01586
COG1477	K03734
COG2014	K09138
COG1550	K09764
COG1887	K09809
COG3842	K02052
COG0420	K03547
COG1237	K06897
COG2524	K04767
COG4239	K13895
COG4174	K13894
COG4166	K15580
COG0675	K07496
COG3093	K21498
COG3549	K07334
COG2231	K07457
COG5337	K06330
COG1204	K03726
COG1961	K06400
COG3547	K07486
COG2897	K01011
COG3746	K07221
COG1314	K03075
COG3108	K08640
COG3591	K01318
COG0744	K05366
COG0311	K08681
COG0214	K06215
COG1061	K01156
COG2253	K09144
COG3534	K01209
COG1070	K00854
COG3041	K19157
COG0584	K01126
COG1175	K02025
COG1653	K02027
COG0111	K00058
COG1932	K00831
COG3218	K18480
COG3392	K07318
COG3328	K07493
COG3620	K15773
COG4632	K01125
COG3300	K21023
COG0419	K03546
COG1593	K11690
COG3897	K22843
COG3958	K00615
COG3959	K00615
COG0575	K00981
COG0671	K19302
COG2515	K17950
COG1350	K06001
COG1001	K01486
COG2882	K02413
COG4537	K02456
COG1638	K21395
COG3090	K21394
COG4973	K03733
COG1682	K09690
COG1134	K09691
COG4421	K18134
COG1083	K00983
COG1052	K00058
